scraped_at,chart_label,chart_id,week_ending,series,Indexed value*,Year over year,Week over week,value
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,10/18/2025,Commercial,,,,35.1
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,10/25/2025,Commercial,,,,35.3
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,11/01/2025,Commercial,,,,35.3
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,11/08/2025,Commercial,,,,35.4
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,11/15/2025,Commercial,,,,35.1
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,11/22/2025,Commercial,,,,35.5
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,11/29/2025,Commercial,,,,30.4
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,12/06/2025,Commercial,,,,34
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,12/13/2025,Commercial,,,,35.2
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,12/20/2025,Commercial,,,,35.5
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,12/27/2025,Commercial,,,,29.2
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,01/03/2026,Commercial,,,,28.1
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,01/10/2026,Commercial,,,,32.9
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,01/17/2026,Commercial,,,,34.9
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,01/24/2026,Commercial,,,,34.1
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,01/31/2026,Commercial,,,,33.9
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,02/07/2026,Commercial,,,,35
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,02/14/2026,Commercial,,,,35.1
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,02/21/2026,Commercial,,,,34.6
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,02/28/2026,Commercial,,,,35.1
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,03/07/2026,Commercial,,,,35.6
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,03/14/2026,Commercial,,,,35.6
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,03/21/2026,Commercial,,,,35.6
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,03/15/2025,Professional,,,,35.2
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,03/22/2025,Professional,,,,35.2
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,03/29/2025,Professional,,,,35.3
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,04/05/2025,Professional,,,,35
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,04/12/2025,Professional,,,,35.2
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,04/19/2025,Professional,,,,34.5
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,04/26/2025,Professional,,,,34.7
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,05/03/2025,Professional,,,,34.9
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,05/10/2025,Professional,,,,35.1
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,05/17/2025,Professional,,,,35
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,05/24/2025,Professional,,,,34.6
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,05/31/2025,Professional,,,,31.7
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,06/07/2025,Professional,,,,34
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,06/14/2025,Professional,,,,34.7
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,06/21/2025,Professional,,,,33.7
2026-03-30T20:40:13.565Z,it_staffing,60a7be6c-516f-4793-afb0-0efa8981ba27,06/28/2025,Professional,,,,34.8
